Sr_No,Date ,Sales,Sale_Refunds,Purchases,Purchase_cancelation,Location,Service,Company size,Category
1,1/4/2020,0,0,0,0,Rural & Urban,Goods & Services,50,Energy
1,2/4/2020,0,0,0,0,Rural & Urban,Goods & Services,50,Energy
1,3/4/2020,2,0,0,0,Rural & Urban,Goods & Services,50,Energy
1,4/4/2020,0,0,0,0,Rural & Urban,Goods & Services,50,Energy
1,5/4/2020,0,0,0,0,Rural & Urban,Goods & Services,50,Energy
1,6/4/2020,1,0,0,0,Rural & Urban,Goods & Services,50,Energy
1,7/4/2020,1,1,0,0,Rural & Urban,Goods & Services,50,Energy
1,8/4/2020,13,2,0,0,Rural & Urban,Goods & Services,50,Energy
1,9/4/2020,11,0,28,0,Rural & Urban,Goods & Services,50,Energy
1,10/4/2020,0,0,0,0,Rural & Urban,Goods & Services,50,Energy
1,11/4/2020,2,1,35,0,Rural & Urban,Goods & Services,50,Energy
1,12/4/2020,0,0,0,0,Rural & Urban,Goods & Services,50,Energy
1,13/04/2020,1,0,0,0,Rural & Urban,Goods & Services,50,Energy
1,14/04/2020,0,0,0,0,Rural & Urban,Goods & Services,50,Energy
1,15/04/2020,3,0,8,0,Rural & Urban,Goods & Services,50,Energy
1,16/04/2020,3,0,0,0,Rural & Urban,Goods & Services,50,Energy
1,17/04/2020,3,0,0,0,Rural & Urban,Goods & Services,50,Energy
1,18/04/2020,2,1,0,0,Rural & Urban,Goods & Services,50,Energy
1,19/04/2020,0,0,0,0,Rural & Urban,Goods & Services,50,Energy
1,20/04/2020,1,0,0,0,Rural & Urban,Goods & Services,50,Energy
1,21/04/2020,0,0,0,0,Rural & Urban,Goods & Services,50,Energy
1,22/04/2020,8,0,12,0,Rural & Urban,Goods & Services,50,Energy
1,23/04/2020,3,1,0,0,Rural & Urban,Goods & Services,50,Energy
1,24/04/2020,1,0,0,0,Rural & Urban,Goods & Services,50,Energy
1,25/04/2020,2,0,0,0,Rural & Urban,Goods & Services,50,Energy
1,26/04/2020,0,0,0,0,Rural & Urban,Goods & Services,50,Energy
1,27/04/2020,0,0,0,0,Rural & Urban,Goods & Services,50,Energy
1,28/04/2020,8,1,4,0,Rural & Urban,Goods & Services,50,Energy
1,29/04/2020,0,0,0,0,Rural & Urban,Goods & Services,50,Energy
1,30/04/2020,7,2,0,0,Rural & Urban,Goods & Services,50,Energy
